numero_report,inizio_range,fine_range,data_report,regione,nuovi_casi_settimanali,trend_casi,trend_focolai,rt_puntuale,rt_range_inizio,rt_range_fine,trasmissione_non_gestibile,valutazione_probabilità,valutazione_impatto,compatibilità_rt,classificazione_rischio,classificazione_alta_tre_settimane
0,2020/5/4,2020/5/10,2020/5/16,Abruzzo,,-,,0.45,0.26,0.71,,bassa,livello 2,,,
0,2020/5/4,2020/5/10,2020/5/16,Basilicata,,-,,0.27,0.05,0.47,,bassa,livello 2,,,
0,2020/5/4,2020/5/10,2020/5/16,Calabria,,-,,0.34,0.14,0.65,,bassa,livello 2,,,
0,2020/5/4,2020/5/10,2020/5/16,Campania,,-,,0.58,0.36,0.81,,bassa,livello 2,,,
0,2020/5/4,2020/5/10,2020/5/16,Emilia-Romagna,,-,,0.6,0.52,0.65,,bassa,livello 2,,,
0,2020/5/4,2020/5/10,2020/5/16,Friulia Venezia Giulia,,-,,0.86,0.62,1.13,,bassa,livello 2,,,
0,2020/5/4,2020/5/10,2020/5/16,Lazio,,-,,0.74,0.59,0.93,,bassa,livello 2,,,
0,2020/5/4,2020/5/10,2020/5/16,Liguria,,-,,0.48,0.37,0.61,,bassa,livello 2,,,
0,2020/5/4,2020/5/10,2020/5/16,Lombardia,,-,,0.62,0.59,0.64,,moderata,livello 3,,,
0,2020/5/4,2020/5/10,2020/5/16,Marche,,-,,0.55,0.33,0.88,,bassa,livello 2,,,
0,2020/5/4,2020/5/10,2020/5/16,Molise,,+,,0.34,0..08,0.72,,moderata,livello 3,,,
0,2020/5/4,2020/5/10,2020/5/16,Piemonte,,-,,0.58,0.52,0.64,,bassa,livello 2,,,
0,2020/5/4,2020/5/10,2020/5/16,Provincia Autonoma Bolzano / Bozen,,-,,0.56,0.34,0.84,,bassa,livello 2,,,
0,2020/5/4,2020/5/10,2020/5/16,Provincia Autonoma Trento,,+,,0.75,0.51,1.03,,bassa,livello 2,,,
0,2020/5/4,2020/5/10,2020/5/16,Puglia,,-,,0.72,0.53,0.95,,bassa,livello 2,,,
0,2020/5/4,2020/5/10,2020/5/16,Sardegna,,-,,0.24,0.1,0.47,,bassa,livello 2,,,
0,2020/5/4,2020/5/10,2020/5/16,Sicilia,,-,,0.54,0.32,0.84,,bassa,livello 2,,,
0,2020/5/4,2020/5/10,2020/5/16,Toscana,,-,,0.39,0.3,0.5,,bassa,livello 2,,,
